Company Name,Phone,E-mail
Twin Towers Services,(201) 224-8444,jpappi8@gmail.com
Certified Tire & Auto Service,(856) 566-1200,goodyearstratford@yahoo.com
Md Complete Auto Repair,(631) 758-7171,
Nor Spring Service Station Inc.,(718) 736-0100,spring@muktipetroleum.com
Spar Auto Service,(908) 769-7760,sparautoservice@yahoo.com
Resta's Automotive,(732) 873-8900,frank@restas.com
Tranz Connection,(732) 270-5600,tranzconnection@comcast.net
Spanials Service Center,(215) 855-7030,spanial@verizon.net
"R & C Auto Rebuilders, Inc.",(908) 757-1933,
Hank May's Goodyear,(203) 348-3000,hankmays1775@yahoo.com
Bob Adams Auto Service Center,(215) 368-4700,bobadamsauto@comcast.net
Chris Ridge Service Inc.,(201) 939-7626,chrisridgeservice@gmail.com
All Across The Island Tire & Auto Repair,(516) 285-7800,graham.allcity@gmail.com
Route 23 Auto Mall Ford,(973) 838-0800,mbryant@23automall.com
Vinart Collision Center,(610) 967-6500,jay.cassel@vinart.com
Gallagher's Auto Service,(610) 644-9904,gallaghersauto@yahoo.com
Mercedes Benz Of Fairfield,(203) 368-6725,AAAserviceMBofFairfield@penskeautomotive.com
Candlewood Valley Motors Llc,(860) 354-2277,mikevochis@yahoo.com
Little Falls Auto Service,(973) 237-1900,info@littlefallsautoservice.com
J & L Service Center,(908) 561-3354,jandlautocenter@yahoo.com
Hank May's Goodyear,(203) 846-3277,hankmays1775@yahoo.com
H & A Auto Repair,(610) 539-2905,BIZHANDAAUTO@gmail.com
Hillside Automotive Center,(860) 951-1083,bob@hillsideautomotive.com
AAA Middletown Car Care Insurance Travel Center,(732) 865-9360,carcareschedulerequestsmiddletown2@aaacorp.com
Jerrys Auto Repair & Towing,(516) 621-6024,customercare@jerrystowing.com
Mini Of Ramsey,(551) 777-5641,mmozdziez@driveprestige.com
Hank Mays Discount Tire & Auto Center,(914) 937-0700,portchester@hankmays.com
Kelly's World Class Automotive Llc,(484) 369-8342,pat@kellysworldclassauto.com
Powder Mill Towing And Auto Repair,(973) 285-9282,powdermilltowing@gmail.com
Land Rover Mt. Kisco,(914) 614-0886,
Westport Center Service,(203) 227-0575,rolson191@aol.com
Lyons Service Corp Inc.,(860) 233-5541,lyonschip@sbcglobal.net
"Mesko Glass & Mirror Co., Inc.",(570) 253-2550,kzeiss@mesko.com
"Jeff's Automotive, Inc.",(610) 253-6565,jeff@jeffsautomotive.com
Jack Nolans Exxon,(610) 489-9028,jacknolanexxon@aol.com
Prestige Auto Inc.,(732) 254-9745,prestigeautoinc@optonline.net
Wynnewood Park Automotive,(610) 642-8693,hog99eb@msn.com
Pag BMW Of Turnersville,(856) 649-7100,aaaservicebmwofturnersville@penskeautomotive.com
Defalco's Automotive & Towing,(973) 635-8333,defalcosnj@gmail.com
"Pocono Towing & Recovery, Llc",(570) 842-0480,rvanbrunt@poconotransportation.com
Wes Jackson Automotive Center,(610) 489-6888,info@wesjackson.com
South Green Automotive,(860) 296-2616,sgreencars@gmail.com
Audi Princeton,(609) 688-3100,carlmesaros@audiprinceton.com
Midas Muffler,(860) 693-1721,cantonmidas@gmail.com
Payless Auto Glass,(877) 776-4527,instant_quote@paylessautoglass.com
Congers Collision,(845) 589-0685,cci180@optonline.net
Bergeys Collision Center Of Lansdale,(215) 855-4754,cflogan@bergeys.com
Haldeman Ford Of Kutztown,(610) 683-3553,
King's Automotive,(610) 328-2556,Dennis@kingsautomotiveinc.com
Charlie's Complete Auto Service,(856) 312-1624,charliescomplete@live.com
Haldeman Auto Body Inc,(610) 791-4900,pkahler@haldemanford.com
Mastercraft Auto & Tire,(732) 269-1110,teammastercraft219@gmail.com
Carshop Hatfield,(844) 839-2750,egalante@carshop.com
Zoel's Body & Auto Center,(203) 237-6464,joel@zoelsauto.com
Troast Auto Body,(973) 627-2065,troastautobody@optonline.net
Albitz Garage,(610) 326-1438,dalbitz@albitz.com
Ditmire Motorworks,(609) 641-3392,ditmiremb@gmail.com
J&D Automotive Repair,(610) 936-9596,jndautomotiverepairs@gmail.com
Wheelers Auto Service,(203) 288-3329,skmod88@aol.com
Complete Automotive,(516) 781-0200,
Complete Automotive Repair Specialists,(860) 632-2886,johnnatale@carsllc.com
"Si All Tire & Service, Inc.",(718) 447-3400,alltirerob@gmail.com
Pj's Auto Body,(973) 584-1008,pjsauto1@aol.com
Double N Automotive,(631) 585-9530,doublenauto@aol.com
Klis Brothers Automotive & Tire,(631) 462-6677,
Cammisa's Garage,(203) 924-9210,bcammisa@comcast.net
Auto Express Of Langhorne,(215) 945-8000,bdannehower@autoexpresspa.com
Personal Auto Care Service Center,(860) 347-9845,jkpac@aol.com
Schumacher & Francy Auto,(610) 353-2373,sandfauto@gmail.com
Nerger's Auto Express,(732) 356-6060,service@nergersautoexpress.com
Audi Flemington,(908) 782-2400,cshort@cioccadealerships.com
Cromwell Automotive,(860) 613-2355,rodney@cromwellautomotive.com
Amf Auto Clinic,(610) 872-2167,amfautoclinic@gmail.com
John Beck's Auto Service,(215) 945-6600,johns@starlinx.com
BMW Of Tenafly,(201) 568-9000,AAAserviceBMWofTenafly@penskeautomotive.com
Armen Collision,(610) 649-0300,
B & R Collision Corp,(570) 226-3291,bandrcollisioncorp@yahoo.com
Prestige Group Ramsey Toyota,(201) 762-7101,RonaldGwinnett@driveprestige.com
Hudson Toyota,(201) 433-0009,AAAserviceHudsonToyota@penskeautomotive.com
Tire Tech & Repair Center,(201) 337-0016,tiretechandauto@gmail.com
Audi Massapequa,(631) 691-7700,scott@legendautogroup.com
Bruneau's Auto Inc.,(203) 877-8551,bruneausauto696@gmail.com
Haldeman Ford Lincoln Inc,(610) 791-4900,pkahler@haldemanford.com
Colonial Service Station,(718) 351-1500,colonialservice@verizon.net
Fletchers Garage,(215) 295-4931,smokintires@yahoo.com
West Side Tire & Auto,(201) 433-5123,
Paramus Honda,(201) 426-4676,NJPARHON_AAA@lithia.com
Millburn Audi,(973) 250-6702,apalma@dchusa.com
West Goshen Auto & Fleet Service,(610) 696-7390,westgoshenauto@verizon.net
Car Kings,(973) 473-9300,carkinginc@comcast.net
Jaguar Land Rover Larchmont,(914) 517-0772,
The Repair Shop At Lehigh Fleet Services,(484) 241-3211,info@lehighfleetservices.com
Montclair Acura,(973) 559-4087,NJMONACU_AAA@lithia.com
Wyckoff Auto Center,(201) 848-1310,wyckoffautocenter@gmail.com
Al's Auto Care,(732) 477-9776,andre@autorepairbrick.com
Interstate Fleets Service Center,(215) 822-8115,brianp@interstate-fleets.com
Signature Automotive,(856) 464-8900,signatureautomotive@comcast.net
Auto Repair Specialist Inc,(203) 866-9986,contact@autorepairspecialists.info
Burlington Carstar,(609) 386-2100,samolessi@optonline.net
Victor Auto Body Works,(860) 346-8800,Tyler@victorautobodyworks.com
Livingston Tire Company,(973) 533-0101,livingstontire07039@gmail.com
Mark's Auto Service,(908) 647-7276,marksautogillette@gmail.com
Bellmawr Collision Center,(856) 939-4000,bruce@bellmawrcollision.com
Riverview Service Center,(201) 794-8083,wayne@riverviewservice.com
Mahwah Sunoco,(201) 529-3137,
J. L. Automotive Towing,(609) 758-0087,jlautomotiveandtowing@gmail.com
Family Auto,(570) 620-0150,
Audi Meadowlands,(201) 567-1400,bvanderburg@bbmcc.com
Guilford Texaco,(203) 453-4961,guilford.texaco@comcast.net
Newark Car Care Center Inc.,(973) 622-8473,ritter299@aol.com
Curtis' Auto Repair Service,(201) 843-7505,chaynesauto@gmail.com
Rob's Auto Repair,(973) 697-7009,Robertburns6767@yahoo.com
Chris' Automotive Center,(845) 225-3054,barbara@chrisautomotive.com
Pauls Garage,(610) 837-9877,info.paulsgarage@rcn.com
"Paul's Auto Repair & Towing, Inc.",(570) 488-6650,paulstowing215@gmail.com
Bob Nolans Auto Repair,(215) 639-8320,
Guilford Texaco North,(203) 208-1115,guilford.texaco@comcast.net
Sunshine Car Repair,(860) 567-9490,service@sunshinecarrepair.net
Elite Automotive,(973) 691-1444,elite@ptd.net
Moletsky's Service Center,(570) 961-0550,
AAA Clifton Heights Car Care Insurance Travel Center,(610) 605-2114,carcareschreqclifton@aaacorp.com
Porsche Of Fairfield,(203) 780-2089,AAAServicePorschefairfield@penskeautomotive.com
Alper Automotive,(215) 331-3780,Alperautomotive@comcast.net
Strohl Automotive Services,(610) 395-3345,service@strohlautos.net
Lakeview Garage,(609) 561-1251,lakeview_garage@verizon.net
Appalachian Auto Care,(610) 298-8855,kevin@appalachianautocare.com
Edison Automotive Repairs,(732) 985-8899,edisonautomotive@yahoo.com
Sands Point Automotive,(516) 767-0471,alex@sandspointautobody.com
Dch Honda Of Nanuet,(845) 367-4380,dgarretson@dchusa.com
Platt's Performance Plus,(800) 595-1978,edwinplatt@plattsplus.com
Fred Beans Chevrolet,(215) 348-3586,
North Penn Gulf,(215) 362-2223,npgulf@gmail.com
Nor Bronx River Inc.,(718) 378-1718,norbaytowing@gmail.com
Bob's Garage Of Sewell,(856) 589-5055,bobsgaragesewell@gmail.com
Midas Auto Service Experts,(610) 863-7777,MIDAS18091@GMAIL.COM
Premier Subaru,(203) 481-0687,service@premiersubaru.com
Grandview Service Centre,(215) 257-7033,andrew@grandviewservicecentre.com
Dch Brunswick Toyota,(877) 510-0620,richardpmootz@dchusa.com
R & L Automotive,(570) 420-5422,chevytahoels@gmail.com
Fred Beans Ford Of Boyertown,(610) 367-2081,
Hudson Collision And Auto Repair,(201) 339-1706,hudsoncc@verizon.net
Hillcrest Mobil,(973) 239-7887,hillcresttire@aol.com
Huntington Center Gulf,(203) 929-0361,brucescull804@gmail.com
Fred Beans Buick/Cadillac,(215) 345-7100,
Bergeys Chevrolet Inc,(215) 822-4100,jmcglone@bergeys.com
Vertucci Automotive Inc.,(203) 269-2323,joe@vertucciauto.com
Plaza Service Center,(203) 269-3550,plazaservice@sbcglobal.net
AAA Tire And Auto Service - King Of Prussia,(610) 337-6800,CarCareScheduleRequestsKingofPrussia@aaacorp.com
Nor Cooper Service Center Inc.,(718) 381-4151,rattans248@gmail.com
Briarwood Service Center,(203) 333-9242,briawoodautoservice@yahoo.com
Tri State Shell,(570) 491-4827,tristateshell@gmail.com
Pocono Tire & Brake,(570) 420-8900,
54 Street Auto Center,(212) 265-3120,54thstautocenter@gmail.com
Fred Beans Ford Of Langhorne,(215) 945-8000,
Bowe's Exxon Car Care Center,(610) 828-6522,Kevin.bowe@Bowesexxon.com
Auto Lenders Liquidation Center,(856) 385-0910,mickeyw@autolenders.com
Dee's Jfk Service,(973) 748-8873,shelldees@aol.com
Premier Subaru Watertown,(860) 274-8866,smartinelli@premierwatertown.com
Js Auto Service Inc,(215) 362-9236,autopros@jsauto.net
North Penn Gulf,(215) 362-2212,npgulf@gmail.com
Blue Ridge Service & Tire Of Walnutport,(610) 767-2220,brst@ptd.net
Riverside Service,(203) 618-4442,fcalka@yahoo.com
Midas Auto Service & Tires,(215) 885-8990,
Dean Auto Works,(860) 349-9980,dean.autoworks@comcast.net
Wayne Shell,(973) 694-1653,wayneshellaaa@yahoo.com
Woods Smith Point Auto Corp,(631) 281-6956,woodstow@optonline.net
East Rock Auto Repair,(203) 776-9220,east_rock_repair@sbcglobal.net
Northeast Transmission & Auto Repair,(215) 331-5990,Northeasttransmission@yahoo.com
Lehigh Valley Honda,(610) 967-6500,daniel.carcione@vinart.com
Audi Allentown,(610) 841-8100,sflannery@cioccadealerships.com
Audi  Dayton,(937) 291-6000,ghayes@whitecars.com
J & L Auto Body,(908) 561-3354,
Audi Freehold,(732) 810-8000,dstrasser@audifreehold.com
Cds Auto And Truck Repair,(845) 563-9987,cdsautoandtruck@gmail.com
Midas Southington,(860) 621-9333,zveronneau@midasamg.com
Super Tool Automotive,(732) 843-6300,supertoolauto@optonline.net
Godshalls Auto Service,(215) 855-7800,service@godshallsauto.com
"Pranzo's Auto Service, Inc.",(570) 226-2435,
Best Auto Service Center,(570) 688-2378,bestautoservicecenter@yahoo.com
AAA Edison Car Care Insurance Travel Center,(732) 636-0600,carcareschedulerequestsedison@aaacorp.com
Superior Automotive,(609) 208-0111,superiorauto95@gmail.com
Pag Gateway Toyota,(732) 240-2000,aaaservicegatewaytoyota@penskeautomotive.com
Interstate Fleets Service Center,(610) 289-6170,
Midas Bristol,(860) 506-5321,midasofbristol@midasamg.com
Procraft Auto Body,(732) 542-7171,
Premier Kia,(203) 315-2050,ralvine@premiersubaru.com
"Fred Beans Nissan Of Doylestown, Inc.",(215) 340-7950,
Ye Old Station Auto Body,(203) 272-7266,Sales@yeoldstation.com
Midas Of Langhorne,(215) 757-4070,
Rossnagle's Service Center,(908) 454-6512,rossnagleservice@mail.com
Old Time Automotive,(609) 242-1146,otacarcare@gmail.com
Blue Ridge Service Center,(610) 826-4959,brsc@ptd.net
Belltown Motors,(860) 267-7222,belltownmotors@sbcglobal.net
Mohegan Lake Audi,(914) 528-8076,jsetti@moheganlakecars.com
Sugar Hill Service Center,(203) 426-8409,Service@sugarhillauto.com
Fred Beans Hyundai,(215) 945-8000,
Chester Valley Shell,(908) 879-8747,acvt90@aol.com
Atlantic Tire & Service Center,(732) 381-0100,atlantictirenj@gmail.com
C.I.P,(570) 476-9484,mail@customimportperformance.com
Frank's Servicenter,(215) 355-8877,Frank@Franksservicenter.com
Valenti Audi,(860) 274-8846,korr@valentiauto.com
Island Car Care,(718) 447-8917,dan@siautogroup.com
"Silas Deane Auto, Llc",(860) 436-6211,shaun@silasdeaneauto.com
Lakeside Shell,(609) 585-9525,lakesideautoservice@yahoo.com
Dch Freehold Toyota,(732) 810-1048,NJFHDTOY_AAA@lithia.com
,,
Clark's Auto & Tire Center,(856) 728-0660,clarksautorepair@comcast.net
Centro Auto Body And Repair,(201) 653-7753,centroab@aol.com
Wappinger Falls Toyota,(845) 206-0521,NYWAPTOY_AAA@lithia.com
Convent Phillips 66,(973) 538-3234,conventshell@optonline.net
Mercedes Benz Of Greenwich,(866) 285-4034,jguthartz@penskeautomotive.com
Carrs Tire & Automotive Specialist Inc,(215) 536-8454,cautospec01@comcast.net
Fred Beans Ford,(215) 348-2900,
AAA Mount Laurel Car Care Insurance Travel Center,(856) 778-8800,carcareschedulerequestsmtlaurel@aaacorp.com
Linnett's Gulf,(215) 972-9000,
Lou's Automotive Center,(856) 227-9028,lousautocenter@hotmail.com
Deboer's Auto,(973) 827-4047,service@deboersauto.com
Midas Auto Service Experts,(610) 253-9070,midas18042@gmail.com
Miller's Automotive Repair,(570) 839-9539,
Audi Of Devon,(610) 356-9000,Joe@audidevon.com
Mcgarrigles Automotive Services,(610) 543-4223,Dan@mcgarriglesautomotive.com
Liberty Bell Car Care And Towing,(718) 323-9984,shoplibertybell@aol.com
AAA Langhorne Car Care Insurance Travel Center,(215) 269-2034,CarCareScheduleRequestLanghorne@aaacorp.com
Patriot Chevrolet,(610) 495-1800,cjohenning@chevyking.com
Car Shop,(610) 458-3700,
Auto Rx,(718) 217-8820,collisionrepairs.rojo@gmail.com
Jd Automotive & Truck / Advanced Transmission,(973) 366-0799,jdautomotive@optonline.net
Easton Auto Body,(610) 252-6502,eastonautobody@gmail.com
Pag Honda Of Turnersville,(856) 516-6250,aaaservicehondaofturnersville@penskeautomotive.com
,,
Rothrock Motor Sales Inc,(610) 439-8485,rcarl@rothrock.com
Evan's City Gas,(215) 763-3100,evansgulf@gmail.com
Dietrich's Auto Repair,(631) 204-0200,Dietrichsauto@optonline.net
T.N.T Automotive Inc.,(516) 326-2396,tntautomotive@yahoo.com
Happy's Garage Ii,(973) 838-6001,
Dch Ford Of Eatontown,(732) 982-4222,NJEATFOR_AAA@lithia.com
Lehigh Valley Collision Center Llc,(484) 223-0632,pjeffers@rothrock.com
,,
Broadway Sunoco,(201) 333-5480,broadwaygulfservice@hotmail.com
Nor Crest Service Station,(718) 591-3203,crest@mukipetroleum.com
Joe Guarino Automotive Service Center,(973) 772-8736,jgauto@mechanicnet.com
Automotive Magic (Llc),(973) 366-3777,shawn@automotivemagic.com
AAA Lawrenceville Car Care Insurance Travel Center,(609) 419-1704,carcareschedulerequestslawrenceville2@aaacorp.com
Cd Automotive Enterprises,(631) 744-2887,towingcd@hotmail.com
One Stop 86 Th Street.Inc.,(718) 331-1207,
Portland Automotive,(860) 342-0640,turnermichael@sbcglobal.net
Jefferson Valley Service Station,(914) 245-3333,
Redline Automotive Repair,(610) 837-2058,bathautorepair@gmail.com
Knk Auto Service And Tire Inc.,(631) 963-9300,islandautocars@gmail.com
Pag Toyota Of Turnersville,(856) 516-6450,aaaserviceToyotaofTurnersville@penskeautomotive.com
"Mesko Glass & Mirror Co., Inc.",(570) 346-0777,
Paul's Motor Sales & Service,(973) 427-2530,service@paulsvolvo.com
Lexus Of Ramsey,(855) 484-6393,NJRAMLEX_AAA@lithia.com
"G & M Auto Service, Inc.",(609) 835-4046,gmauto1@gmail.com
Park Manor Automotive,(610) 395-6712,parkmanorautomotive@gmail.com
Don Glo Iv Of Yonkers Service Center,(914) 968-6779,donglow@email.com
RJT Motorist Services,(914) 948-1100,ray@rjtauto.com
Branchburg All Tire & Auto,(908) 725-7373,goodyear545@aol.com
Rob's Automotive & Collision Center,(215) 943-1144,gregg@robstowing.com
Kershaw & Fritz Tire Service,(215) 345-0712,KFTire@aol.com
R.J. Shore Automotive,(203) 488-3677,j115shore@yahoo.com
Five Star Automotive,(973) 779-2249,ssshellauto@aol.com
Lexus Of Orange County,(888) 592-1540,NYMDDLEX_AAA@lithia.com
Honda Of Danbury,(833) 773-0732,AAAserviceofHondaDanbury@penskeautomtive.com
Tire King,(854) 298-8555,
Mastercraft Discount Auto & Tire,(609) 597-8717,mastercraft528@gmail.com
Freeman's Auto Services Inc,(845) 774-7770,
Farmington Motor Sports,(860) 677-9074,fmseileen@yahoo.com
Loyal Tire And Auto Center Inc.,(845) 783-4200,loyaltow3@yahoo.com
Mesko Glass & Mirror Company,(610) 264-3000,kzeiss@mesko.com
Midas Auto Service - Upper Darby,(610) 449-9100,
Douglassville Auto Body & Sales,(610) 326-0422,dvillecol@comcast.net
Three Star Auto Service,(609) 655-1122,tsasi@msn.com
Robert's Service Center,(203) 878-4746,robertsservicecenter@gmail.com
Upper Gwynedd Service Center,(215) 699-6640,office@ugservicecenter.com
John's Auto & Truck Repair,(203) 748-2466,johnsautodanbury@gmail.com
"New Dorp All Tire & Service, Inc.",(718) 980-5583,alltirejill@gmail.com
Midas Stratford,(203) 212-8250,midasofstratford@midasamg.com
Audi Of Warrington,(215) 343-1600,
,,
"Forest All Tire & Service, Inc.",(718) 442-4078,alltirechris@gmail.com
"Si All Tire & Service South Shore, Inc.",(718) 356-8000,alltirehugh@gmail.com
Mirabelli Automotive - Wethersfield,(860) 563-3445,denisec@mirabelliautomotive.com
Nor Meadow Service Station Inc,(718) 969-1603,
T & D Automotive,(610) 253-0212,tndauto@rcn.com
AAA Eatontown Car Care Insurance Travel Center,(732) 389-5559,carcareschedulerequestseatontown@aaacorp.com
P & S Garage Inc,(570) 223-8874,
Berkeley Auto Body Inc.,(973) 743-7386,berkeleyautobody@hotmail.com
Paul's Motors,(845) 471-4240,
Pag Hyundai Of Turnersville,(856) 649-7500,aaaservicehyundaiofturnersville@penskeautomotive.com
Cornerstone Automotive,(610) 833-1200,brian.hoffman@cornerstoneautopa.com
BMW Of Bloomfield,(973) 780-9551,robertcirone@bmwofbloomfield.com
G & C Auto Body & Classic Car Llc,(609) 586-1336,
Miller Ford Lincoln,(609) 261-7835,jvisco@millertransgroup.com
